State,Bill_Number,Bill_Name,Summary,Source_Link,Bill_Type,Year
Alabama,HB 169,Public Education Appropriations,"makes appropriations for fy2026 public education, including funding for **ai, cybersecurity, and stem** program enhancements at higher education institutions. *(bill text: )*",https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2025RS/HB169-int.pdf,HB,2025
Alabama,HB 208,State Government Tech Quality Assurance,"requires the secretary of information technology to establish a **technology quality assurance board** to promote responsible, transparent procurement and use of novel technologies (including ai) by state agencies. *(status: )*",https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2025RS/HB208-int.pdf,HB,2025
Alaska,HCR 3,Ai Legislative Task Force,"""establishes a joint legislative task force on artificial intelligence to study the technology’s impacts and recommend state policies​akleg.gov. (bill status: )""",http://www.akleg.gov/basis/Bill/Detail/33?sid=HCR003,HB,2025
Alaska,SB 2,Deepfake Disclosure,mandates disclosure of ai-generated **deepfake content** in election materials. also directs state agencies to maintain ai system inventories and conduct impact assessments. *(bill text: )*,http://www.akleg.gov/basis/Bill/Detail/33?sid=SB0002,SB,2025
Alaska,SB 33,Synthetic Media Liability,"expands defamation law to cover harms from **ai-generated synthetic media**, including deepfakes used in electioneering. *(bill status: )*",http://www.akleg.gov/basis/Bill/Detail/33?sid=SB0033,SB,2025
Alaska,SB 64,Elections (Ai Provisions),"omnibus elections bill that, among other updates, prohibits using **ai-generated media in election communications** and treats such use as false personation under criminal law. *(bill status: )*",http://www.akleg.gov/basis/Bill/Detail/33?sid=SB0064,SB,2025
Arizona,HB 2175,Claims And Prior Authorization,"""prohibits health insurers from using **ai to deny medical claims or prior authorizations**; requires a licensed provider to review such decisions. *(bill status: )*""",https://apps.azleg.gov/BillStatus/BillOverview/79319,HB,2025
Arizona,HB 2678,Indistinguishable Images (Child Exploitation),"criminalizes using **ai to create child sexual abuse material**, adding ai-generated content to child exploitation laws. *(bill status: )*",https://apps.azleg.gov/BillStatus/BillOverview/79470,HB,2025
Arizona,HB 2847,Rental Price Fixing And Algorithms,targets housing by banning algorithmic rental price-fixing; bars use of **pricing algorithms** that reduce competition in setting rents (). *(bill status: )*,"https://www.ncsl.org/technology-and-communication/artificial-intelligence-2025-legislation#:~:text=Rental%20Price%20Fixing%20and%20Algorithmic,Pricing",HB,2025
Arizona,SB 1140,Telehealth & Homeless Services (Ai Pilot),creates a telehealth pilot integrating ai for mental health and addiction treatment in homeless services. *(bill status: )*,https://apps.azleg.gov/BillStatus/BillOverview/78411,SB,2025
