State,Theme Keywords,State Abbrev
Alabama,"education, state, intelligence, artificial, department, technology",AL
Alaska,"content, generated, media, ai, deepfake, election",AK
Arizona,"health, insurers, decisions, care, medical, human",AZ
Arkansas,"content, generated, media, ai, deepfake, election",AR
California,"ai, systems, use, risk, data, high",CA
Colorado,"ai, systems, use, risk, data, high",CO
Connecticut,"health, insurers, decisions, care, medical, human",CT
Delaware,"education, state, intelligence, artificial, department, technology",DE
Florida,"child, sexual, generated, abuse, pornography, images",FL
Georgia,"education, state, intelligence, artificial, department, technology",GA
Hawaii,"education, state, intelligence, artificial, department, technology",HI
Idaho,"ai, systems, use, risk, data, high",ID
Illinois,"ai, systems, use, risk, data, high",IL
Indiana,"ai, systems, use, risk, data, high",IN
Iowa,"ai, systems, use, risk, data, high",IA
Kansas,"ai, systems, use, risk, data, high",KS
Kentucky,"education, state, intelligence, artificial, department, technology",KY
Maine,"education, state, intelligence, artificial, department, technology",ME
Maryland,"ai, systems, use, risk, data, high",MD
Massachusetts,"ai, systems, use, risk, data, high",MA
Minnesota,"education, state, intelligence, artificial, department, technology",MN
Mississippi,"education, state, intelligence, artificial, department, technology",MS
Missouri,"content, generated, media, ai, deepfake, election",MO
Montana,"content, generated, media, ai, deepfake, election",MT
Nebraska,"child, sexual, generated, abuse, pornography, images",NE
Nevada,"child, sexual, generated, abuse, pornography, images",NV
New Hampshire,"rent, landlords, rental, pricing, algorithms, algorithmic",NH
New Mexico,"education, state, intelligence, artificial, department, technology",NM
New York,"ai, systems, use, risk, data, high",NY
North Carolina,"content, generated, media, ai, deepfake, election",NC
North Dakota,"education, state, intelligence, artificial, department, technology",ND
Ohio,"education, state, intelligence, artificial, department, technology",OH
Oklahoma,"education, state, intelligence, artificial, department, technology",OK
Oregon,"education, state, intelligence, artificial, department, technology",OR
Pennsylvania,"content, generated, media, ai, deepfake, election",PA
Rhode Island,"ai, systems, use, risk, data, high",RI
South Carolina,"content, generated, media, ai, deepfake, election",SC
South Dakota,"content, generated, media, ai, deepfake, election",SD
Tennessee,"education, state, intelligence, artificial, department, technology",TN
Texas,"education, state, intelligence, artificial, department, technology",TX
Utah,"ai, systems, use, risk, data, high",UT
Vermont,"ai, systems, use, risk, data, high",VT
Virginia,"content, generated, media, ai, deepfake, election",VA
Washington,"ai, systems, use, risk, data, high",WA
West Virginia,"ai, systems, use, risk, data, high",WV
Wisconsin,"content, generated, media, ai, deepfake, election",WI
